제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어느+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2018.07.07.|2018.07.11.&section=kin&page=1
제가 정신적으로 아픈건가요?(정신건강),"제가 정신적으로 아픈건가요?안녕하세요..사실 병원에 가면 보다 더 정확하겠지만, 그래도 병원에 가는 건 역시 겁이 나서... 다른 분들의 의견을 좀 듣고 그 다음에 가고 싶어서요. 주변에 판단을 부탁하기엔 부담스럽고...반년 쯤 전부터 우울하고 무기력한 느낌이 반복적으로 있어왔습니다. 우울한 기분을 폭식으로 풀기도 여러 번. 하지만 다이어트를 해왔던 기억이 있어서, 적절한 때에 스스로를 조절해 살은 오히려 유지·2키로그램 정도가 빠진 상태입니다.(사실 2키로그램은 왔다갔다 하지요ㅎㅎ) 식욕과 음식에 대한 불안함? 이 과할 정도로 제 머릿속을 많이 차지하고... 지금도 그렇고.그러다 3월달부터 조금 호전되는 듯 싶었어요. 친구들이랑 술도 먹으러 다니고 사회생활도 하고있는 터라 괜찮은 것 같았어요. 하지만 전 몰랐는데, 이제와서 생각해보니 제가 외로워한 것도 같고... 같이 있어도 외로운 느낌이나, 하루 끝에 공허함? 같은 걸 좀 예민할 정도로 잘 느끼는 것 같아요.또 쉽게 상처를 잘 받아요. 남한텐 정말 사소한 말 한마디도 저는 그 말 듣고 죽고싶은 충동 느껴요. 무심코 식칼 같은 것에 시선이 가고 손에 쥐어보기도 하고... 그러다 결국은 겁이 나서 그만둡니다. 정말 사소한 잔소리나 말에도요 상처를 많이 받는 거 같아요.. 전 그럴때마다 제가 너무 미친거 같아서 그럴수록 더 슬퍼지고. 또 가끔 잘 때 속이 너무 답답해서 숨이 안쉬어져요. 가슴을 몇번 쳐보기도 하고 한숨도 계속 쉬고 해야 겨우 괜찮아져요.. 전에는 아 내가 우울증인가? 생각하다가도 저는 우울하면 안되는 사람이다, 내가 부족하게 자란게 뭐냐 싶어서 일부러 자기암시를 건 것 같아요. 가족들 다 힘든 거 옆에서 보이는데 난 거창하게 댈 이유도 없고 해서... 한참 심했을 땐 제 다이어리에 유서 비슷한 것도 써보고. 최근 많이 나아졌다 싶었는데, 갑자기 어느순간 눈물이 나거나 죽은 연예인들 영상·프로필을 찾아본다거나.. 그리고 또 그거 보고 울어요. 근데요, 밖에 나가서는 정말 정상인이거든요. 남들처럼 웃고 술도 마시고 그래요. 엄마 아빠랑도 현재는 사이 나름 괜찮고요. 주로 엄마 말에 상처를 많이 받긴 하지만요...(이 전엔 언니한테도 상처를 많이 받았어요) 감기처럼이라기도 뭐하지만 가끔씩 훅 하고 들어오는 것처럼 이런 우울감.충동. 그런게 와요... 약물치료가 필요한 상황일까요, 저? 그리고 많이 심각한 걸까요...?",허약자인   면역질환자 증상들인데      내분비과에서 체크해보도록   다이어트에  식습관이 엉망들이니   신체 정신 모두  병이 올수밖에
눈밑 주름 없애려고 합니다ㅠ 사진 처럼 눈밑 자글자글 주름이 아니라 선이 딱 잡혀있어요ㅠ 저 주름좀 없애고,눈밑 주름 없애려고 합니다ㅠ사진 처럼 눈밑 자글자글 주름이 아니라선이 딱 잡혀있어요ㅠ저 주름좀 없애고 싶은데요 어느 병원을 가야하며어떤 시술? 수술을 해야 하나요ㅠㅠ제 발알려주세요!ㅠ,흠...제가 보기엔 애굣살때문에 주름이 생기신것 같기두한데어떤지는 병원에 가보셔야지 애굣살주름인지 정확하게 아실 수 있어여만약 애굣살주름이시라면 눈밑지방제거로 얼마든지 애굣살주름 개선 가능하실것 같기두해여사진만 봐서는 내리뜨고 계셔서 어떤지 잘 모르겠어서 ㅠ일단 병원가보시고 애굣살주름 어떻게 해결해야하는지정확하게 여쭤보세여! 그럼 의사쌤이 알려주실거에여질문자님한테 딱 맞는 방법으로 애굣살주름 해결하시길 바라여!
화상 어느정돈지 봐주세여 ㅠㅠ 피가 수포처럼 맺히기도 합니다,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",이런 ㄷㄷ병원 가셔야 겠는데요소독 받으시고관리 잘 못하시면 염증생겨서 흉도 많이 생기고 오래 고생할테니얼렁 병원 가세요
화상 어느정돈지 봐주세여 ㅠㅠ 피가 수포처럼 맺히기도 합니다,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",표재성 2도 화상으로 보이며자가치료보다는 병원에 가시는 것이 좋습니다.
제가 귀를 뚫은껀데 피부가 예민한 편이라서 병원에서 귀를 뚫을려고 합니다.1.병원 어느 과에 가야되나요?2.귀걸이를 가져가야하나요??,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",안녕하세요. 하이닥-네이버 지식iN 상담의 김지홍 입니다.1. 이비인후과에 가시면 됩니다.2. 네. 가져가셔야 합니다.감사합니다.
병원코디네이터요  병코 자격증하나만으로 취업할수잇나요?,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","취업을 하는데는 자격증뿐만 아니라 경력도 함께 있으면 취업하실때 유리하죠.병코자격증만 있어도 취업이 될수도 있고 안될수도 있고, 그건 상황에 따라 병원에 따라 다 다릅니다.그래도 이력서를 넣으실때 자격증란에 공란으로 있는것보다는자격증으로 채워져있다면 취업에 더 유리하죠병원코디네이터1급 딸수 있는 온라인 교육원중에서는 비전큐가 제일 개설과목수도 많고 유명한 것 같아요.글구 다른곳은 수강료가 넘 비싼데 일단 수강료와시험응시료를 전액 지원해준다고 해요.여기는 병원행정관리사1급, 병원진료접수매니저1급,병원서비스매니저1급도 있어요무료지원이라고 해서 첨엔 큰 기대 안했는데 강의수준도 높고, 커리큘럼이 넘 좋아요.딴데는 무료강의라서 화질도 나쁘고,엄청 옛날에 찍은 영상이던데,여긴 화질도 고화질에 아주 최신에 찍은 영상이구요.계속 새로운 유망자격증을 업데이트하는 활성화된곳이더라구요.한국직업능력개발원에 정식으로 등록된 자격증이라서 이력서에 다 쓰면 되구요.강의 수준도 높고, 컴퓨터나 스마트폰으로도 언제든지 편하게 수강할수 있구요.커리큘럼이 좋더라구요.네이버에 비전큐라고 검색하시면 홈페이지 나옵니다.작은 도움이 되셨길 바랍니다^^"
병원코디네이터요  병코 자격증하나만으로 취업할수잇나요?,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","병원코디네이터는 구태여 돈내고 배우거나 하지 마시고, 에듀킨아카데미 같은 곳에서 무료로 수업해 주는 과정도 있으니까 그쪽으로 알아 보시는게 좋을것 같아요. 피부나 네일 자격증 합격률은 에듀킨아카데미가 제일 높게 대부분 알고 있어요. 아무래도 전문학원 중에서는 전국적으로 가장 큰 규모의 법인학원이라 시스템이 잘 갖춰져 있거든요. 아무리 강남의 시설위주로 밀어붙이는 학원들이 많아도 에듀킨 합격률은 넘사벽이라는게 미용학원 분야의 불문률처럼 되고 있어요미용학원들이 취업을 다 시켜줄것 같지만 의외로 많은 학원들이 그렇지 않다는 부분이예요.멘토라고 얘기하는 일개 영업사원들한테 등록하게 되면 그런 취업이나 창업관련된 서비스는 거의 불가능하다고 보시면 될거구요. 최소한 원장님들이 상담해 주시는 곳에서 등록을 해야 나중에 취업을 하건 창업을 하건 도움을 받을 수 있어요.생각해 보세요. 미용은 1도 모르는 영업하는 남자들(멘토)들이 뭘 알아요. 그들은 한두달 내에 퇴사해버릴 수 있는 그런 사람들인데 그런 사람들한테 몇백을 결재한다고요? 그냥 자선납부를 하시는게...지금까지 이야기를 종합해서 좋은 학원을 선택하는 기준을 알려 드릴께요.- 합격률은 신경쓰지 마세요. 어차피 확인할 방법도 없잖아요.- 절대로 원장님이 직접 상담해서 계약의 책임을 확인할 수 있어야 한다.- 미용도 모르는 멘토라는 이름의 영업사원들이 계약하는 학원은 피한다.- 피부미용은 주5일 수업해야 제대로 배울 수 있다.- 수업시간은 하루에 3시간은 해야 어느정도 실습을 할 수 있다 (2시간30분 짜리 수업은 피하세요)- 네일아트는 젤아트를 추가비용없이 배울 수 있어야 한다- 국가자격증 필기수업을 오프라인이든 온라인이든 반드시 해주는 학원으로 가야 한다.- 전문학원에서 배워야 제대로 배우고 취업/창업까지 제대로 지원받을 수 있다.  대부분의 샵은 전문학원과 제휴를 맺고 있기 때문이다.- 합격할때 까지 무제한 수업""을 홍보하는 학원치고 학원 분위기 제대로 돌아갈수가 없다. 그런 학원은 피한다.- 무조건 금액 후려치는"" 학원에서 수업을 제대로 하는 경우도 본적 없다. 그런 학원도 피한다.- 반영구 학원에서 불법 수업하는 경우는, 수업 모두 받은 후 ""경찰에 신고"" 한다고 하면 학원비 환불 해 주니까 챙기자. 이런 것들을 기준으로 보았을 때 몇군데 추려 보면 아래와 같은 교육기관들이 추천할만 합니다.- (주)에듀킨아카데미- 뷰티인강원격학원- 비전헤어아카데미- 지미한뷰티아카데미"
발목을 예전에 다쳤는데 몇년간 발목을 많이쓰면 아팠어요. 운동하다 어느순간 엄청 아파서 병원가보니 만성염증인 것 같대요.발목때문에 런닝머신도 못뛰고 있었는데 군대가면 더 발목 망가질 것 같고 활동도 잘 하지 못할것 같아요. 재검받으면 몇급 판정나나요..? 지난번에 신검받았을 때는 딱히 어필은 안했고 이정도 심한 줄은 몰랐거든요..,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",몇급받냐 안받냐는 모르겠고병무용진단서 치료기록지 검사결과지등을 가져가세요. 병역판정은 전담의사가하는겁니다.
권리금 문제로 질문드립니다..,"임대인 건물주 R씨... 계약당시 R씨 건물을 관리해주는 J씨와 모든계약을 했습니다..저는 R씨병원 근처에 1층을  약국으로 임대를 했습니다..권리금 1억.. 보증금 X천만  임대료  X백만원  (혹시나몰라 보증금 임대료는 X처리 했습니다)권리계약은 J씨말로는  A씨가 기존가게(B씨)와 권리계약을 해놨으니 A씨와 권리계약을 하면 된다고 해서 그리했습니다.. 2년이지나 적자에 허덕이던 약국도 어느정도 자리를 잡았습니다..문제는 옆건물에 약국이 들어오면서  매출에 타격이 생기면서 알게된사실입니다.. 계약당시 권리금을 기존에 가게를 운영하는 B씨가 받아가질 않았고, B씨와 A씨와의 권리계약도 거짓이었던걸로 부동산에선 파악하고 있습니다부동산에선 계약당시 권리금이 오고간것을 J씨가 건물주 R씨에게 얘기(보고)했다고 합니다.. 그런데 J씨말도 거짓이었고..  J씨가 권리금을 챙긴걸로 부동산에서도 건물주 R씨도 뒤늦게서야 판단하게 됩니다. 이런 비슷한 상황이 건물주 R씨의 또다를 건물에서 발견이 됩니다.3년전쯤으로 보이고또다를 피해자는 소송을 준비중이라고 했습니다..  문제는 약국오픈 2년된시점에서  약국을 팔고 나갈수가 없다는 겁니다..건물주R씨는 지금 약국계약기간동안은 놔두고... 더이상 R씨건물에 임대차계약을 안 하겠다고 생각하고 있습니다...물론 5년이 다되어가는 시점에 계약을 안해주면 문제(권리금문제)가 되지만  지금 새로운 임대차계약을 안해주는건 문제가 되는지는 잘 모르겠어요..ㅠ 건물주R씨.. 관리인J씨.. 제가 할수 있는 방법이 무엇이 있을까요?","안녕하세요. 로시컴-네이버 지식iN 상담변호사 한병철입니다.상담글 남겨주셔서 감사드리며 문의주신 사항에 대해 답변드리겠습니다.1. J씨를 상대로는 부당이득반환 청구 소송을 제기할 수 있고, 사기 혹은 업무상 횡령 고소 등도 염두에 둘 수 있을 것으로 보입니다.2. R씨를 상대로는 상가건물임대차보호법제10조의4(권리금 회수기회 보호 등) ① 임대인은 임대차기간이 끝나기 3개월 전부터 임대차 종료 시까지 다음 각 호의 어느 하나에 해당하는 행위를 함으로써 권리금 계약에 따라 임차인이 주선한 신규임차인이 되려는 자로부터 권리금을 지급받는 것을 방해하여서는 아니 된다. 다만, 제10조제1항 각 호의 어느 하나에 해당하는 사유가 있는 경우에는 그러하지 아니하다.1. 임차인이 주선한 신규임차인이 되려는 자에게 권리금을 요구하거나 임차인이 주선한 신규임차인이 되려는 자로부터 권리금을 수수하는 행위2. 임차인이 주선한 신규임차인이 되려는 자로 하여금 임차인에게 권리금을 지급하지 못하게 하는 행위3. 임차인이 주선한 신규임차인이 되려는 자에게 상가건물에 관한 조세, 공과금, 주변 상가건물의 차임 및 보증금, 그 밖의 부담에 따른 금액에 비추어 현저히 고액의 차임과 보증금을 요구하는 행위4. 그 밖에 정당한 사유 없이 임대인이 임차인이 주선한 신규임차인이 되려는 자와 임대차계약의 체결을 거절하는 행위② 다음 각 호의 어느 하나에 해당하는 경우에는 제1항제4호의 정당한 사유가 있는 것으로 본다.1. 임차인이 주선한 신규임차인이 되려는 자가 보증금 또는 차임을 지급할 자력이 없는 경우2. 임차인이 주선한 신규임차인이 되려는 자가 임차인으로서의 의무를 위반할 우려가 있거나 그 밖에 임대차를 유지하기 어려운 상당한 사유가 있는 경우3. 임대차 목적물인 상가건물을 1년 6개월 이상 영리목적으로 사용하지 아니한 경우4. 임대인이 선택한 신규임차인이 임차인과 권리금 계약을 체결하고 그 권리금을 지급한 경우③ 임대인이 제1항을 위반하여 임차인에게 손해를 발생하게 한 때에는 그 손해를 배상할 책임이 있다. 이 경우 그 손해배상액은 신규임차인이 임차인에게 지급하기로 한 권리금과 임대차 종료 당시의 권리금 중 낮은 금액을 넘지 못한다.④ 제3항에 따라 임대인에게 손해배상을 청구할 권리는 임대차가 종료한 날부터 3년 이내에 행사하지 아니하면 시효의 완성으로 소멸한다.⑤ 임차인은 임대인에게 임차인이 주선한 신규임차인이 되려는 자의 보증금 및 차임을 지급할 자력 또는 그 밖에 임차인으로서의 의무를 이행할 의사 및 능력에 관하여 자신이 알고 있는 정보를 제공하여야 한다.을 근거로 하여 계약 갱신을 요구하고,3. 계약 갱신에 응하지 않는다면, 임대인을 대상으로 권리금회수에 대한 방해행위를 이유로 한 손해배상 청구소송을 제기할 수 있을것으로 보입니다. 더 궁금한 사항이 있으시거나 방문 상담을 원하시면 제 이름 누르시고 문의주시면 됩니다.감사합니다."
아는 여자가 일하는 병원에 친구랑 진찰 받으러 갔는데 나에게 말고 옆 친구에게 “여기 근데 왜 왔어?”라고 물어보는 거... 왜 그러는거죠? 남자를 극혐하는 건가요???,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","병원이 어느 진찰과 인지 모르겠으나같은 성별 가진 분에게 더 물어보기에 거부감이 없어서 그랬지 않았을까요?아니면 질문자분과 사이가 조금 어색하거나요~ (아는 여자라고 적으셔서^^..)""여기 근데 왜 왔어?""라는 말이 듣는 사람에 따라""어디 아파서 왔어?""라는 질문으로 들릴 수도 있을 것 같아요.너무 진지하게 생각하지 않는 게 질문자님 정신건강에 더 좋을 것 같습니다~좋은 하루 되세요!"
아는 여자가 일하는 병원에 친구랑 진찰 받으러 갔는데 나에게 말고 옆 친구에게 “여기 근데 왜 왔어?”라고 물어보는 거... 왜 그러는거죠? 남자를 극혐하는 건가요???,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",무슨일로왔는지 물어본거 아닐까요?
아는 여자가 일하는 병원에 친구랑 진찰 받으러 갔는데 나에게 말고 옆 친구에게 “여기 근데 왜 왔어?”라고 물어보는 거... 왜 그러는거죠? 남자를 극혐하는 건가요???,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",궁금해서물어볼수도있네요참고되시기바랍니다.
외치핵? 내치핵,고등학생인데 아무래도 외치핵? 내치핵?인거 같아요둘중에 뭔지는 모르겠는데 병원에 가봐야하겠죠??집이랑 학교에 어떻게 말해야할지 고민되네요ㅠㅠ좌욕만으로는 해결하기 어려울까요??외치핵이나 내치핵은 왜 생기는 건가요??,"치핵은 주로 배변습관이 잘못되어 있어서 나타납니다.화장실에 오래 앉아 있거나 식습관에 문제가 있는 분들이치질의 위험에 많이 노출되어 있습니다.항문이 돌출됐다면 빨리 병원을 가보시는게 좋을듯 해요지금은 모르지만 시간지나면뻐근하고 통증이 심해져요ㅠㅠ 저도 치질 계속 방치하다가 결국성북구에 서형민원장님께 치료받고서야 좋아졌죠초기 치료면 금방 좋아지니, 병원에 내원해서그에 맞는 치료를 받는 게 좋을 것 같습니다."
외치핵? 내치핵,고등학생인데 아무래도 외치핵? 내치핵?인거 같아요둘중에 뭔지는 모르겠는데 병원에 가봐야하겠죠??집이랑 학교에 어떻게 말해야할지 고민되네요ㅠㅠ좌욕만으로는 해결하기 어려울까요??외치핵이나 내치핵은 왜 생기는 건가요??,"초기에는 좌욕으로 어느정도 치유가 가능하지만 좌욕으로 불가능하면 병원을 방문해야 됩니다. 치핵은 변비로 인해 발생이 될 수가 있는데, 변기에 오래 앉아 있거나 무리한 힘을 주어서 생기게 됩니다."
매몰 쌍커풀수술이 깊게고정이 되었어도 눈감았을때 자국없을수도있나요?,매몰 9개월인데 상거풀 라인이 약간 통통해요 눈감았을땐 전혀자국이없는데 붓기로봐야할지 깊게고정된걸로봐야할지   병원에서는 마냥 기다리라고해서 답답해서 질문드립니다   깊게고정된경우에도 쌍커풀이 소세지같으면서도 눈감았을때 전혀자국이없을수있나요,"안녕하세요. 하이닥-네이버 지식iN 상담의 계민석 입니다.실제 눈의 상태를 보고 말씀 드리는 것이 아니라 부정확한 답변이 될 수 있겠습니다.매몰법의 경우 붓기가 그리 오래 가는 것은 아니고,9개월 가량이라면 어느 정도 자리가 잡힌 시기가 아닌가 합니다.그럼에도 불구하고 쌍꺼풀 라인이 통통해 보이는 것은 쌍꺼풀 라인이 높은 경우이거나원래 본인의 눈꺼풀 두께가 두꺼운 경우, 통통해 보일 가능성이 있겠습니다.감사합니다."
팔뚝주사 당당하게 나시입고싶어!,팔뚝살로 고민입니다. 제가 팔뚝에 살이 많아서 자꾸 가리고 다니는데요.저도 올해만큼은 당당하게 나시도 입고 다니고 싶어요ㅠㅠ팔뚝주사 해볼까 하는데 괜찮을까요?,"팔뚝주사 답변 입니다.어느 한쪽에 좀 더 살이 쉽게 찌는 체형이 있습니다.팔뚝살의 살이 많을 경우 둔하게 보일 수도 있고 옷을 입으면 원하는 핏이 나오지 않아 고민하는 분들이 많습니다. 이런 고민을 가진 분들에게 팔뚝주사 바디조각주사 도움이 됩니다.팔뚝주사 바디조각주사는 원하는 부위의 지방을 뺄 수 있는 방법 입니다. 팔뚝주사 지방이 축적된 부위에 바디조각주사를 주입하여 지방세포를 분해 합니다. 팔뚝주사 칼을 대지 않는 시술로 흉터가 없고바로 일상생활이 가능 합니다.팔뚝주사 바디조각주사는 이런 분들께 추천 합니다.빠른 시간에 살을 빼고 싶은 분, 시간이 없어 운동을 못하시는 분, 멍과 붓기 때문에 망설여 지는 분, PPC맞고도 효과가 없었던 분 등이 있습니다.팔뚝주사 바디조각주사는 시술 부위도 다양 합니다.팔뚝주사부터 옆구리, 복부, 힙선, 승마살, 허벅지, 종아리 등이 있습니다.팔뚝주사 무조건 굶거나 격한 운동, 수술을 고려하는 경우가 많습니다. 하지만 그런 방법이 아니 여도 팔뚝주사 적절한 관리 방법을 통해 개선이 가능 합니다.팔뚝주사 혹시나 발생할 수 있는 부작용(멍, 감염, 통증 부종 등)에 노출되지 않도록 올바른 병원을 선택하시길 바랍니다.팔뚝주사 비교적 간단하게 받을 수 있다고 하지만 개개인에 지방의 양은 모두 다르므로 진행에 앞서 팔뚝주사 충분한 상담을 통해 결정하시길 바랍니다.이상 팔뚝주사 답변 이였습니다."
드라이기 터져서 스파크 튀었어요 잡고 있던 손에 검은색 재? 같은거 묻었는데 비누로 어느정도 씻었는데 아주 살짝 끈적거리는 느낌?? 얼굴에도 검은색이 좀 묻었는데 어떻게 지우나요? 화상은 안 입은것같아요 그래도 병원 가야 될까요?? 손이 아프지는 않은데..,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",주방세제로 닦으세요
엄마께서 치밀유방? 진단을 받아서 초음파 검사를 했더니 암같다고 병원 내원하라고 전화왔다는데 원래 내하라는 전화할 때는 어느정도 진행됐는지 안알려주는건가요?? 아님 별로 심각하지 않아서 그런건지...같이 보고 말하려는 건지..... 제발 전자였으면.... 답변 부탁드립니다!,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",안녕하세요 새빛손해사정입니다초음파 만으로는 암의 정밀 진단이 불가능합니다이후 시행되는 조직검사 등의 정밀검사를 통해 암의 진단을 확정할 수 있기에 병원에서 진행정도를 알려주지 못하는겁니다어쨋든 암으로 보이는 의심소견이 있어 병원에 내원하라는것이니 최대한 빨리 내원하여 정밀검사를 시행하시기 바랍니다
엄마께서 치밀유방? 진단을 받아서 초음파 검사를 했더니 암같다고 병원 내원하라고 전화왔다는데 원래 내하라는 전화할 때는 어느정도 진행됐는지 안알려주는건가요?? 아님 별로 심각하지 않아서 그런건지...같이 보고 말하려는 건지..... 제발 전자였으면.... 답변 부탁드립니다!,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","암과 같이 환자나 보호자가 받아들이기 힘든 질환을 설명할 때에는 확실하지 않으면 가능한 말을 하지 않습니다..아마도 그래서 그런 것 같아요..만약 정형적인 암의 소견을 보였다면 좀 더 말을 했겠지만, 그정도는 아닌 것 같고 추가적인 검사를 더 해봐야 알 수 있어서 그렇게 제한적으로 말을 한 것 같아요....초음파로 암 여부에 대한 단계가 있는데 그걸 알면 좀 더 답이 되겠지만, 우선은 빨리 병원에 가셔서 검사를 받아보시는게 좋을 것 같습니다..간혹 아닌 경우로 나오는 경우도 있으니 어머님이 더 상심하지 않으시게 가족분들이 지지가 되어주세요.."
얼굴 피부에 갑자기 이렇게 오돌토돌 났습니다.ㅠㅠ,"피부에 갑자기이렇게오돌토돌 났어요..갑자기요 어느날 일어나서 세수를 하는데 손에 닿는 얼굴피부가 너무 거친거에요그래서 보니까 얼굴 이마, 볼 전체적으로 오돌토돌 뭐가 났습니다..조금 간지럽구요..뭐때문에 그런걸까요.. 여드름은 아닌 것 같습니다..","님께서 올려주신 증세 사진과 설명 글로 미루어 님의 두피 이마 (볼) 피부증세는 우선 지루성피부염과 모낭염이 합병된 증세로 판단됩니다..평소 안면부 두피가 건조한 타입 즉 건성 지루성피부염 바탕에 오돌토돌한 모낭염이 합병된 것으로 추정됩니다. 모낭염은 환부의 붉은 딱지 반복 생성 및 증세에 따라 쌑톨모양 돌출되는 작은 알갱이 현상도 관찰되기도 합니다. 모낭염은 그리 가렵진 않고 두피에 나는 경우 따갑거나 아프기도 합니다. 그러나 임상가에서는 총괄적 넓은 의미의 두피지루성피부염이나 안면부 및 입주위 턱부위 목부위 가슴부위 어깨 등부위 둔부 사타구니 등의 모공 부위의 지루성피부염에 모낭염이 혼재하는 타입이 가장 많은 형태로 나타납니다. 모낭염은 한번 발병하면 만성적으로 주로 두피 얼굴 입주위 턱부위 목 어께 상흉부 등부위 기타 사타구니 겨드랑이 부위가 호발부위로서 점차 그 부위가 등부위 전체의 모공으로 돌아가면서 확산되어갑니다 모낭염 호발부위는 지루성피부염 일부 호발부위와 대략 비슷합니다. 그간의 임상 경험으로 말씀드리면 만성 모낭염은 스트레스 수면부족 피곤한 생활 지속 등으로 인체 면역계의 조절능력이 기울어 면역과민성으로 오는 질환으로 추정됩니다.즉 인체 면역계에 이상이 오고 , 피부저항력이 떨어지고, 모낭부의 지방독 등 세포 자가독작용으로 만성적으로 모낭염이 발병할 수 있습니다. 즉 이 만성적인 모낭염은 세균에 의한 모낭염이 아니며 모공 및 모낭부위의 지방분해효소의 활력이 떨어져 지방 독의 축적 또는 화장품이나 보습제 등에 포함된 계면활성제 및 중금속류등에 의한 화학독소 오염 등으로 일어나는 세포 독작용에 의한 염증을 의미합니다. 님의 피부증세로서 추정되는 모낭염 및 지루성피부염이 합병된 상태로서지금 단계에서는 피부 진료하는 병의원 한의원 및 치료법( 동서양치료법이 전혀 다르고 , 또 한방치료에 있어서는, 각각의 한의원마다 그 치료법도 전혀 다를 수 있습니다.)을 세세히 파악하시고 대략적인 치료 기간 과 치료비용 등도 참고하시고 선택하시어 그 치료를 잘 받아보시길 바랍니다. 한방요법으로도 반복하여 나타나는 모낭염 및 지루성피부염 동시에 치료 가능하며 처방한약으로 인체 면역 기울음과 해독기능 저하 , 호르몬 부조화, 스트레스 등의 문제에 대하여 인체 균형을 맞추어주고 인체 자연 치유 회복력을 북돋아 주면 붉고 거칠며 돌출 되었던환부는 서서히 그 증세 개선되어가며 마침내 깨끗하게 치유 됩니다.모공자리에 어떤 흔적도 없이 깨끗한 피부로 돌아오면 치유 상태로서 동시에 한약 복용도 중단하고 가려움증 완화와 환부 안정을 위해 보조적으로 바르는 외용한약 바르는 것도 동시에 중단합니다. 즉 한방치료로 지루성피부염 및 모낭염 환부 치유되면 동시에 그 치료도 중단합니다.치유된 상태에서 치유 상태를 지속 유지시키기 위한 어떠한 유지요법도 하지 않습니다.치유와 동시에 한약복용이나 외용 도포한약 단절해도 그 치료 단절로 인한 어떠한 반동현상 없이 , 어떠한 즉시적 재발도 없이, 건강한 피부상태가 지속됩니다.그리고 어떠한 유지요법도 필요치 않습니다. 환부가 깨끗이 치유된 후 주치의의 조언에 따라 그 재발 요인들을 잘 알아서 이러한 면역체계의 안정성을 잘 이해하고 일상생활에서 적용하여 적절히 주의해간다면 그 재발도 뜸해지고 어렵게 될 것입니다. *지루성피부염 과 모낭염 합병 증세 그 한방치료에 있어서는 , 님의 경우 경증과 중증 사이 중간등급 정도이며 적절한 한방 치료법( 각각의 한의원마다 그 치료법이 전혀 다를 수 있습니다.)잘 선택하시어 치료 받으시면  가미된 하나의 처방한약으로 지루성피부염과 모낭염 동시에 순조롭게 치유될 가능성이 높으며 개선 변화를 몸소 경험해가며 마침내 깨끗한 두피와 얼굴로 치유 가능합니다.모낭염 지루성피부염 합병 증상 모낭염 지루성피부염 합병 증상 님께 참고 되셨길 바랍니다."
